Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
878218,386,Ozone (O3),Mean,ppb,UHF42,402,West Queens,Summer 2023,06/01/2023,34.3659895,
876975,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Summer 2023,06/01/2023,11.33199203,
876900,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2023,06/01/2023,12.02033251,
877140,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2023,06/01/2023,14.12317805,
874556,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410,Rockaways,Summer 2023,06/01/2023,8.150636732,
878233,386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,06/01/2023,38.29501816,
874861,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,06/01/2023,8.147909572,
877257,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,06/01/2023,6.452587396,
878177,386,Ozone (O3),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2023,06/01/2023,28.5882459,
874407,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2023,06/01/2023,9.490783626,
876867,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Summer 2023,06/01/2023,12.47245283,
878178,386,Ozone (O3),Mean,ppb,UHF34,305307,Upper East Side-Gramercy,Summer 2023,06/01/2023,30.41343596,
878241,386,Ozone (O3),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2023,06/01/2023,33.38337979,
878252,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2023,06/01/2023,33.22314544,
878249,386,Ozone (O3),Mean,ppb,Borough,4,Queens,Summer 2023,06/01/2023,36.99164687,
877059,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Summer 2023,06/01/2023,11.25760293,
874320,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,East Flatbush - Flatbush,Summer 2023,06/01/2023,8.611497961,
878137,386,Ozone (O3),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2023,06/01/2023,36.58470878,
877038,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Summer 2023,06/01/2023,13.82754858,
878122,386,Ozone (O3),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,06/01/2023,35.37371742,
874873,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2023,06/01/2023,9.257483083,
874413,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Summer 2023,06/01/2023,9.228735232,
877062,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2023,06/01/2023,10.27141027,
874870,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Summer 2023,06/01/2023,8.212676617,
874514,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,06/01/2023,9.340237988,
878222,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2023,06/01/2023,29.05630081,
878123,386,Ozone (O3),Mean,ppb,CD,311,Bensonhurst (CD11),Summer 2023,06/01/2023,39.07310042,
